round,price_basis,group,measure,quantile_type,quantile_number,weighted_mean_wealth,
5,Real terms (March 2022 prices),Owner,Private pension wealth,decile,2,29400.78146,
5,Real terms (March 2022 prices),Owner,Private pension wealth,decile,3,92556.40784,
5,Real terms (March 2022 prices),Owner,Private pension wealth,decile,4,162490.9606,
5,Real terms (March 2022 prices),Owner,Private pension wealth,decile,5,241334.23,
5,Real terms (March 2022 prices),Owner,Private pension wealth,decile,6,338179.6747,
5,Real terms (March 2022 prices),Owner,Private pension wealth,decile,7,457193.08,
5,Real terms (March 2022 prices),Owner,Private pension wealth,decile,8,618423.5366,
5,Real terms (March 2022 prices),Owner,Private pension wealth,decile,9,850346.5945,
5,Real terms (March 2022 prices),Owner,Private pension wealth,decile,10,1637347.991,
5,Real terms (March 2022 prices),Owner,Private pension wealth,quintile,1,14935.2786,
5,Real terms (March 2022 prices),Owner,Private pension wealth,quintile,2,127465.1683,
5,Real terms (March 2022 prices),Owner,Private pension wealth,quintile,3,289758.6938,
5,Real terms (March 2022 prices),Owner,Private pension wealth,quintile,4,537716.3534,
5,Real terms (March 2022 prices),Owner,Private pension wealth,quintile,5,1246221.392,
5,Real terms (March 2022 prices),Owner,Physical wealth,decile,1,16296.26162,
5,Real terms (March 2022 prices),Owner,Physical wealth,decile,2,31595.09972,
5,Real terms (March 2022 prices),Owner,Physical wealth,decile,3,42097.49522,
5,Real terms (March 2022 prices),Owner,Physical wealth,decile,4,51466.63242,
5,Real terms (March 2022 prices),Owner,Physical wealth,decile,5,59652.52676,
5,Real terms (March 2022 prices),Owner,Physical wealth,decile,6,72354.19995,
5,Real terms (March 2022 prices),Owner,Physical wealth,decile,7,80715.57108,
5,Real terms (March 2022 prices),Owner,Physical wealth,decile,8,94971.57841,
5,Real terms (March 2022 prices),Owner,Physical wealth,decile,9,117927.0585,
5,Real terms (March 2022 prices),Owner,Physical wealth,decile,10,237213.4458,
5,Real terms (March 2022 prices),Owner,Physical wealth,quintile,1,23963.60878,
5,Real terms (March 2022 prices),Owner,Physical wealth,quintile,2,46788.96964,
5,Real terms (March 2022 prices),Owner,Physical wealth,quintile,3,66016.41259,
5,Real terms (March 2022 prices),Owner,Physical wealth,quintile,4,87821.71677,
5,Real terms (March 2022 prices),Owner,Physical wealth,quintile,5,177558.0385,
5,Nominal,Renter,Total wealth,decile,1,1435.228826,
5,Nominal,Renter,Total wealth,decile,2,7709.136138,
5,Nominal,Renter,Total wealth,decile,3,14020.42578,
5,Nominal,Renter,Total wealth,decile,4,22787.32033,
5,Nominal,Renter,Total wealth,decile,5,34326.28748,
5,Nominal,Renter,Total wealth,decile,6,48783.16118,
5,Nominal,Renter,Total wealth,decile,7,72906.41725,
5,Nominal,Renter,Total wealth,decile,8,121944.1375,
5,Nominal,Renter,Total wealth,decile,9,197034.3912,
5,Nominal,Renter,Total wealth,decile,10,511360.0245,
5,Nominal,Renter,Total wealth,quintile,1,4614.0553,
5,Nominal,Renter,Total wealth,quintile,2,18410.81698,
5,Nominal,Renter,Total wealth,quintile,3,41252.79962,
5,Nominal,Renter,Total wealth,quintile,4,96139.06009,
5,Nominal,Renter,Total wealth,quintile,5,353842.9632,
5,Nominal,Renter,Total wealth excl private pension,decile,1,-128.6751374,
5,Nominal,Renter,Total wealth excl private pension,decile,2,5450.911043,
5,Nominal,Renter,Total wealth excl private pension,decile,3,8489.940966,
5,Nominal,Renter,Total wealth excl private pension,decile,4,13909.27175,
5,Nominal,Renter,Total wealth excl private pension,decile,5,17796.14766,
5,Nominal,Renter,Total wealth excl private pension,decile,6,24800.3842,
5,Nominal,Renter,Total wealth excl private pension,decile,7,31279.27767,
5,Nominal,Renter,Total wealth excl private pension,decile,8,42189.95437,
5,Nominal,Renter,Total wealth excl private pension,decile,9,58131.62662,
5,Nominal,Renter,Total wealth excl private pension,decile,10,178003.5885,
5,Nominal,Renter,Total wealth excl private pension,quintile,1,2656.770622,
5,Nominal,Renter,Total wealth excl private pension,quintile,2,11194.06615,
5,Nominal,Renter,Total wealth excl private pension,quintile,3,21327.66489,
5,Nominal,Renter,Total wealth excl private pension,quintile,4,36693.72408,
5,Nominal,Renter,Total wealth excl private pension,quintile,5,117855.0456,
5,Nominal,Renter,Property wealth,decile,1,0,
5,Nominal,Renter,Property wealth,decile,2,0,
5,Nominal,Renter,Property wealth,decile,3,0,
5,Nominal,Renter,Property wealth,decile,4,0,
5,Nominal,Renter,Property wealth,decile,5,0,
5,Nominal,Renter,Property wealth,decile,6,0,
5,Nominal,Renter,Property wealth,decile,7,0,
5,Nominal,Renter,Property wealth,decile,8,0,
5,Nominal,Renter,Property wealth,decile,9,0,
5,Nominal,Renter,Property wealth,decile,10,46494.2683,
5,Nominal,Renter,Property wealth,quintile,1,0,
5,Nominal,Renter,Property wealth,quintile,2,0,
5,Nominal,Renter,Property wealth,quintile,3,0,
5,Nominal,Renter,Property wealth,quintile,4,0,
5,Nominal,Renter,Property wealth,quintile,5,23298.72696,
5,Nominal,Renter,Financial wealth,decile,1,1.006726585,
5,Nominal,Renter,Financial wealth,decile,2,52.51022346,
5,Nominal,Renter,Financial wealth,decile,3,178.8319497,
5,Nominal,Renter,Financial wealth,decile,4,369.4987142,
5,Nominal,Renter,Financial wealth,decile,5,762.9032345,
5,Nominal,Renter,Financial wealth,decile,6,1535.518101,
5,Nominal,Renter,Financial wealth,decile,7,3084.781052,
5,Nominal,Renter,Financial wealth,decile,8,6781.38299,
5,Nominal,Renter,Financial wealth,decile,9,15818.16456,
5,Nominal,Renter,Financial wealth,decile,10,83944.6484,
5,Nominal,Renter,Financial wealth,quintile,1,27.2040102,
5,Nominal,Renter,Financial wealth,quintile,2,274.3001261,
5,Nominal,Renter,Financial wealth,quintile,3,1147.379963,
5,Nominal,Renter,Financial wealth,quintile,4,4950.617679,
5,Nominal,Renter,Financial wealth,quintile,5,50186.22937,
5,Nominal,Renter,Private pension wealth,decile,1,0,
5,Nominal,Renter,Private pension wealth,decile,2,0,
5,Nominal,Renter,Private pension wealth,decile,3,0,
5,Nominal,Renter,Private pension wealth,decile,4,0,
5,Nominal,Renter,Private pension wealth,decile,5,15.78586978,
5,Nominal,Renter,Private pension wealth,decile,6,9443.652381,
5,Nominal,Renter,Private pension wealth,decile,7,38802.65732,
5,Nominal,Renter,Private pension wealth,decile,8,74374.15598,
5,Nominal,Renter,Private pension wealth,decile,9,146124.753,
5,Nominal,Renter,Private pension wealth,decile,10,383932.0803,
5,Nominal,Renter,Private pension wealth,quintile,1,0,
5,Nominal,Renter,Private pension wealth,quintile,2,0,
5,Nominal,Renter,Private pension wealth,quintile,3,4778.014898,
5,Nominal,Renter,Private pension wealth,quintile,4,56596.78933,
5,Nominal,Renter,Private pension wealth,quintile,5,266360.8003,
5,Nominal,Renter,Physical wealth,decile,1,2500,
5,Nominal,Renter,Physical wealth,decile,2,5520.858094,
5,Nominal,Renter,Physical wealth,decile,3,7519.609093,
5,Nominal,Renter,Physical wealth,decile,4,11957.33406,
5,Nominal,Renter,Physical wealth,decile,5,15117.70387,
5,Nominal,Renter,Physical wealth,decile,6,19271.56277,
5,Nominal,Renter,Physical wealth,decile,7,25399.90026,
5,Nominal,Renter,Physical wealth,decile,8,32270.58148,
5,Nominal,Renter,Physical wealth,decile,9,41448.32321,
5,Nominal,Renter,Physical wealth,decile,10,72666.32283,
5,Nominal,Renter,Physical wealth,quintile,1,3997.859842,
5,Nominal,Renter,Physical wealth,quintile,2,9732.539847,
5,Nominal,Renter,Physical wealth,quintile,3,17174.11155,
5,Nominal,Renter,Physical wealth,quintile,4,28814.00803,
5,Nominal,Renter,Physical wealth,quintile,5,56990.48613,
5,Real terms (March 2022 prices),Renter,Total wealth,decile,1,1665.380062,
5,Real terms (March 2022 prices),Renter,Total wealth,decile,2,8945.362152,
5,Real terms (March 2022 prices),Renter,Total wealth,decile,3,16268.72115,
5,Real terms (March 2022 prices),Renter,Total wealth,decile,4,26441.46234,
5,Real terms (March 2022 prices),Renter,Total wealth,decile,5,39830.80171,
5,Real terms (March 2022 prices),Renter,Total wealth,decile,6,56605.95893,
5,Real terms (March 2022 prices),Renter,Total wealth,decile,7,84597.58575,
5,Real terms (March 2022 prices),Renter,Total wealth,decile,8,141498.9245,
5,Real terms (March 2022 prices),Renter,Total wealth,decile,9,228630.5436,
5,Real terms (March 2022 prices),Renter,Total wealth,decile,10,593360.9846,
5,Real terms (March 2022 prices),Renter,Total wealth,quintile,1,5353.95859,
5,Real terms (March 2022 prices),Renter,Total wealth,quintile,2,21363.14918,
5,Real terms (March 2022 prices),Renter,Total wealth,quintile,3,47868.0394,
5,Real terms (March 2022 prices),Renter,Total wealth,quintile,4,111555.7819,
5,Real terms (March 2022 prices),Renter,Total wealth,quintile,5,410584.7133,
