round,price_basis,measure,owner_mean,renter_mean,mean_gap,mean_ratio,owner_median,renter_median,median_gap,median_ratio
6,Nominal,Total wealth,1025638.6304441789,127594.55501188006,898044.0754322989,8.03826331263653,751132.300344628,41240.9773067376,709891.3230378905,18.21325170734774
6,Nominal,Total wealth excl private pension,586172.9338983372,43817.472593785846,542355.4613045513,13.377607132490514,410200.0,23209.0,386991.0,17.674178120556682
6,Nominal,Property wealth,371938.6681046241,3518.796200068508,368419.8719045556,105.70054273031862,257000.0,0.0,257000.0,
6,Nominal,Financial wealth,145816.17212360798,17647.372997335533,128168.79912627244,8.26276931674895,51135.0,1601.0,49534.0,31.93941286695815
6,Nominal,Private pension wealth,439465.6965458416,83777.08241809421,355688.61412774737,5.245655301680995,282942.795783528,550.0,282392.795783528,514.4414468791418
6,Nominal,Physical wealth,70967.04527174993,23996.393124481358,46970.65214726857,2.957404677595011,61200.0,15700.0,45500.0,3.8980891719745223
6,Real terms (March 2022 prices),Total wealth,1136887.7302259451,141434.49723010496,995453.2329958401,8.038263312636527,832606.2130366239,45714.308812891824,786891.9042237321,18.21325170734774
6,Real terms (March 2022 prices),Total wealth excl private pension,649754.0133126193,48570.27171432971,601183.7415982896,13.377607132490512,454693.6251189344,25726.43672692674,428967.1883920076,17.67417812055668
6,Real terms (March 2022 prices),Property wealth,412282.1582701114,3900.4734282395925,408381.68484187184,105.70054273031863,284876.30827783066,0.0,284876.30827783066,
6,Real terms (March 2022 prices),Financial wealth,161632.57899524577,19561.550468026544,142071.02852721923,8.26276931674895,56681.517602283544,1774.6574690770694,54906.86013320647,31.939412866958154
6,Real terms (March 2022 prices),Private pension wealth,487133.7169133259,92864.22551577524,394269.4913975507,5.245655301680995,313633.07049268327,609.6574690770694,313023.4130236062,514.4414468791418
6,Real terms (March 2022 prices),Physical wealth,78664.70765136885,26599.236907726718,52065.47074364213,2.957404677595011,67838.24928639391,17402.949571836347,50435.299714557565,3.8980891719745223
7,Nominal,Total wealth,1107100.5553365783,129625.08673590541,977475.4686006729,8.540789311810872,796289.854286684,49857.0619819965,746432.7923046874,15.971455650038626
7,Nominal,Total wealth excl private pension,623059.3280088864,45371.76534640812,577687.5626624783,13.732313989810653,434024.0,24000.0,410024.0,18.084333333333333
7,Nominal,Property wealth,393960.92557276867,6954.204359700082,387006.7212130686,56.65075473706086,275000.0,0.0,275000.0,
7,Nominal,Financial wealth,157728.0018692523,14585.704249136828,143142.29762011548,10.813876325415452,55000.0,2000.0,53000.0,27.5
7,Nominal,Private pension wealth,484041.2273276918,84253.3213894973,399787.9059381945,5.745069978784605,296000.0,11812.2528544433,284187.7471455567,25.058725346254043
7,Nominal,Physical wealth,73519.23327959023,25190.822659837195,48328.410619753035,2.91849274921875,60000.0,15500.0,44500.0,3.870967741935484
7,Real terms (March 2022 prices),Total wealth,1187635.494444856,139054.53595518396,1048580.958489672,8.540789311810872,854215.175178625,53483.8648333572,800731.3103452679,15.971455650038626
7,Real terms (March 2022 prices),Total wealth excl private pension,668383.1649450761,48672.28971322786,619710.8752318482,13.732313989810654,465596.6482504604,25745.85635359116,439850.79189686925,18.084333333333333
7,Real terms (March 2022 prices),Property wealth,422619.2249468466,7460.081104098153,415159.1438427484,56.65075473706085,295004.60405156534,0.0,295004.60405156534,
7,Real terms (March 2022 prices),Financial wealth,169201.76996103034,15646.726933926708,153555.04302710365,10.813876325415453,59000.92081031307,2145.48802946593,56855.43278084714,27.499999999999996
7,Real terms (March 2022 prices),Private pension wealth,519252.3294997798,90382.24624195613,428870.08325782366,5.7450699787846045,317532.22836095764,12671.523550116432,304860.7048108412,25.058725346254043
7,Real terms (March 2022 prices),Physical wealth,78867.31746843703,27023.3042345399,51844.01323389713,2.9184927492187493,64364.640883977896,16627.532228360957,47737.10865561694,3.870967741935484
8,Nominal,Total wealth,947283.1805061431,154698.56274273613,792584.6177634071,6.123412937465205,712466.24,56030.0,656436.24,12.715799393182223
8,Nominal,Total wealth excl private pension,630712.0913627183,69331.2610461343,561380.830316584,9.09708091048612,456300.0,25959.0,430341.0,17.577718710273892
8,Nominal,Property wealth,400442.55285973084,19763.31284021802,380679.2400195128,20.261914391439312,300000.0,0.0,300000.0,
8,Nominal,Financial wealth,157524.21710859967,22815.95756360072,134708.25954499893,6.9041247411813575,62530.0,2700.0,59830.0,23.159259259259258
8,Nominal,Private pension wealth,316571.08914342476,85367.30169660185,231203.7874468229,3.7083412835107366,209401.92,15373.44,194028.48,13.621019108280255
8,Nominal,Physical wealth,74819.50953263426,28253.4529321057,46566.05660052855,2.6481545357457317,60500.0,17500.0,43000.0,3.4571428571428573
8,March 2022 prices,Total wealth,947283.1805061431,154698.56274273613,792584.6177634071,6.123412937465205,712466.24,56030.0,656436.24,12.715799393182223
8,March 2022 prices,Total wealth excl private pension,630712.0913627183,69331.2610461343,561380.830316584,9.09708091048612,456300.0,25959.0,430341.0,17.577718710273892
8,March 2022 prices,Property wealth,400442.55285973084,19763.31284021802,380679.2400195128,20.261914391439312,300000.0,0.0,300000.0,
8,March 2022 prices,Financial wealth,157524.21710859967,22815.95756360072,134708.25954499893,6.9041247411813575,62530.0,2700.0,59830.0,23.159259259259258
8,March 2022 prices,Private pension wealth,316571.08914342476,85367.30169660185,231203.7874468229,3.7083412835107366,209401.92,15373.44,194028.48,13.621019108280255
8,March 2022 prices,Physical wealth,74819.50953263426,28253.4529321057,46566.05660052855,2.6481545357457317,60500.0,17500.0,43000.0,3.4571428571428573
